"","X","Dem_state","Dem_gender","dem_ageG","Dem_edu","Dem_employment","Dem_maritalstatus","Dem_islolation","isoladult","isolkids","TstressW"
"37",37,"Colima","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","No","No",14
"38",38,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",23
"39",39,"Colima","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",30
"40",40,"Veracruz","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Otro/prefiere no decir","En aislamiento","Sí","Sí",21
"41",41,"Colima","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",17
"42",42,"Colima","Mujeres","20 o menos","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","Sí","No",32
"43",43,"Oaxaca","Mujeres","31 - 40","Licenciatura","Sin empleo","Soltera(o)","La vida sigue sin cambios","No","Sí",14
"44",44,"Veracruz","Mujeres","51 - 60","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",32
"45",45,"Veracruz","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","No",26
"46",46,"Veracruz","Mujeres","61 - 70","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",18
"47",47,"Colima","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",22
"48",48,"Guanajuato","Mujeres","70 o más","Licenciatura","Retirado-Jubilado","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",28
"49",49,"Veracruz","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","Sí",12
"50",50,NA,"Mujeres","61 - 70","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No",NA,18
"51",51,"Veracruz","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",29
"52",52,"Michoacán","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","No","No",23
"53",53,"Veracruz","Mujeres","51 - 60","Bachillerato ","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","No",30
"54",54,NA,"Mujeres","61 - 70","Posgrado","Empleo de tiempo completo","Soltera(o)","","No","No",18
"55",55,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","Sí",25
"56",56,"Veracruz","Hombres","51 - 60","Posgrado","Retirado-Jubilado","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",14
"57",57,"Veracruz","Mujeres","21 - 30","Licenciatura trunca","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",33
"58",58,"Estado de México","Mujeres","61 - 70","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"59",59,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",31
"60",60,"Veracruz","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",22
"61",61,"Veracruz","Mujeres","31 - 40","Posgrado","Estudiante","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",26
"62",62,"Jalisco","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",21
"63",63,"Colima","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",18
"64",64,"CDMX","Mujeres","31 - 40","Licenciatura trunca","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",32
"65",65,"Veracruz","Mujeres","70 o más","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",26
"66",66,"Veracruz","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",19
"67",67,"Querétaro","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",30
"68",68,"San Luis Potosí","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",19
"69",69,"Veracruz","Mujeres","70 o más","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",10
"70",70,NA,"Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",35
"71",71,"Veracruz","Mujeres","31 - 40","Bachillerato ","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",29
"72",72,"Veracruz","Mujeres","21 - 30","Licenciatura trunca","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"73",73,"Veracruz","Mujeres","31 - 40","Posgrado","Sin empleo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","No","Sí",21
"74",74,"CDMX","Mujeres","31 - 40","Posgrado","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",21
"75",75,"CDMX","Mujeres","61 - 70","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","No",18
"76",76,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","Sí","Sí",34
"77",77,"Colima","Hombres","31 - 40","Licenciatura trunca","Auto empleo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores",NA,NA,26
"78",78,"CDMX","Hombres","21 - 30","Posgrado","Sin empleo","Soltera(o)","En aislamiento","Sí","No",33
"79",79,"Quintana Roo","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",23
"80",80,"Zacatecas","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","No","No",21
"81",81,"CDMX","Mujeres","21 - 30","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",26
"82",82,"Veracruz","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",30
"83",83,"Veracruz","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",29
"84",84,"Veracruz","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"85",85,"Veracruz","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",21
"86",86,"Colima","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores",NA,NA,28
"87",87,"Tabasco","Hombres","51 - 60","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue sin cambios","No","No",13
"88",88,"Oaxaca","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",30
"89",89,"CDMX","Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",28
"90",90,"Veracruz","Mujeres","21 - 30","Licenciatura trunca","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",31
"91",91,"CDMX","Hombres","31 - 40","Posgrado","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",39
"92",92,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",45
"93",93,"CDMX","Mujeres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",42
"94",94,"CDMX","Hombres","21 - 30","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"95",95,"CDMX","Hombres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",28
"96",96,"CDMX","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",11
"97",97,"Tamaulipas","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",38
"98",98,"Yucatán","Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",10
"99",99,"Estado de México","Hombres","41 - 50","Licenciatura trunca","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",44
"100",100,"CDMX","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",38
"101",101,"Tlaxcala","Hombres","21 - 30","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",28
"102",102,"Puebla","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"103",103,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores",NA,NA,38
"104",104,"San Luis Potosí","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",35
"105",105,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo parcial","Divorciada(o)/viuda(o)","En aislamiento","Sí","Sí",21
"106",106,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue sin cambios","Sí","No",35
"107",107,"CDMX","Hombres","31 - 40","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",36
"108",108,"CDMX","Mujeres","21 - 30","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"109",109,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",32
"110",110,"Guanajuato","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",21
"111",111,"Querétaro","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",28
"112",112,"Veracruz","Mujeres","61 - 70","Licenciatura","Retirado-Jubilado","Casada(o)/en unión libre","En aislamiento","No","No",13
"113",113,"Jalisco","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",22
"114",114,"Sinaloa","Mujeres","51 - 60","Posgrado","Auto empleo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","No",25
"115",115,"Nuevo León","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores",NA,NA,24
"116",116,"Veracruz","Otro/Prefiere no decir","21 - 30","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",16
"117",117,"CDMX","Mujeres","21 - 30","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","Sí","No",38
"118",118,"Nuevo León","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",25
"119",119,"Veracruz","Mujeres","51 - 60","Licenciatura","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",27
"120",120,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",35
"121",121,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"122",122,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",24
"123",123,NA,"Hombres","41 - 50","Licenciatura trunca","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",25
"124",124,"CDMX","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","La vida sigue con cambios menores","No","No",34
"125",125,"Puebla","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"126",126,"Estado de México","Mujeres","21 - 30","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",26
"127",127,"Hidalgo","Mujeres","31 - 40","Licenciatura","Sin empleo","Soltera(o)","","Sí","No",36
"128",128,"CDMX","Mujeres","51 - 60","Licenciatura","Retirado-Jubilado","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",16
"129",129,"CDMX","Mujeres","31 - 40","Posgrado","Estudiante","Casada(o)/en unión libre","En aislamiento","Sí","No",39
"130",130,"CDMX","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",24
"131",131,"CDMX","Mujeres","41 - 50","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","No","No",31
"132",132,"Estado de México","Mujeres","31 - 40","Licenciatura","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",31
"133",133,"Aguascalientes","Hombres","31 - 40","Licenciatura trunca","Auto empleo","Soltera(o)","En aislamiento","No","No",41
"134",134,"CDMX","Mujeres","41 - 50","Posgrado","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","Sí","No",39
"135",135,"Veracruz","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",32
"136",136,"Veracruz","Hombres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",28
"137",137,"CDMX","Mujeres","21 - 30","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","Sí","No",35
"138",138,"CDMX","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",21
"139",139,"Estado de México","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",28
"140",140,"CDMX","Mujeres","31 - 40","Posgrado","Retirado-Jubilado","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",11
"141",141,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",22
"142",142,"CDMX","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",22
"143",143,"Morelos","Hombres","20 o menos","Bachillerato ","Estudiante","Soltera(o)","En aislamiento","Sí","No",27
"144",144,"Estado de México","Mujeres","31 - 40","Licenciatura trunca","Auto empleo","Soltera(o)","En aislamiento","Sí","No",29
"145",145,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","No",43
"146",146,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",18
"147",147,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","No","No",45
"148",148,"CDMX","Mujeres","31 - 40","Licenciatura trunca","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",34
"149",149,"Aguascalientes","Mujeres","31 - 40","Posgrado","Estudiante","Divorciada(o)/viuda(o)","En aislamiento","Sí","No",30
"150",150,"Michoacán","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Divorciada(o)/viuda(o)","En aislamiento","Sí","Sí",24
"151",151,"Jalisco","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",16
"152",152,"Colima","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",23
"153",153,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",18
"154",154,NA,"Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",15
"155",155,"Hidalgo","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",32
"156",156,"Veracruz","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",33
"157",157,"Tamaulipas","Mujeres","21 - 30","Licenciatura trunca","Empleo de tiempo completo","Soltera(o)","La vida sigue sin cambios","Sí","No",28
"158",158,"CDMX","Mujeres","51 - 60","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",21
"159",159,"CDMX","Mujeres","20 o menos","Licenciatura trunca","Estudiante","Otro/prefiere no decir","La vida sigue con cambios menores","Sí","No",33
"160",160,"CDMX","Hombres","21 - 30","Licenciatura","Sin empleo","Otro/prefiere no decir","La vida sigue con cambios menores","Sí","No",36
"161",161,NA,"Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",25
"162",162,"CDMX","Hombres","21 - 30","Posgrado","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",35
"163",163,"Michoacán","Mujeres","31 - 40","Posgrado","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","No",37
"164",164,"Colima","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",20
"165",165,"CDMX","Hombres","31 - 40","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",37
"166",166,"Colima","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",32
"167",167,"Estado de México","Mujeres","61 - 70","Licenciatura trunca","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","No",34
"168",168,"Hidalgo","Hombres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",30
"169",169,"Nuevo León","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",28
"170",170,"Estado de México","Mujeres","21 - 30","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",28
"171",171,"CDMX","Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",24
"172",172,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",28
"173",173,"Estado de México","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Soltera(o)","La vida sigue sin cambios","No","No",24
"174",174,"CDMX","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",37
"175",175,"Estado de México","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","Sí",38
"176",176,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",24
"177",177,NA,NA,"41 - 50","Posgrado","Empleo de tiempo completo","Otro/prefiere no decir","La vida sigue con cambios menores","No","No",40
"178",178,"CDMX","Mujeres","20 o menos","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",32
"179",179,"CDMX","Hombres","41 - 50","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",15
"180",180,"San Luis Potosí","Mujeres","41 - 50","Bachillerato ","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",40
"181",181,"Zacatecas","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","No","Sí",34
"182",182,"Estado de México","Hombres","21 - 30","Licenciatura","Estudiante","Soltera(o)","La vida sigue con cambios menores","Sí","No",32
"183",183,"Estado de México","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",31
"184",184,"Estado de México","Hombres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",15
"185",185,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",32
"186",186,"Guanajuato","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",29
"187",187,"Michoacán","Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",15
"188",188,"Veracruz","Hombres","21 - 30","Licenciatura","Estudiante","Casada(o)/en unión libre","En aislamiento","Sí","Sí",44
"189",189,"CDMX","Mujeres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",20
"190",190,"CDMX","Hombres","41 - 50","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","No","Sí",34
"191",191,"CDMX","Mujeres","31 - 40","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","No","No",37
"192",192,"Jalisco","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",22
"193",193,"Estado de México","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",44
"194",194,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",36
"195",195,"Aguascalientes","Otro/Prefiere no decir","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","No",19
"196",196,"Estado de México","Mujeres","31 - 40","Posgrado","Auto empleo","Soltera(o)","En aislamiento","Sí","No",28
"197",197,"CDMX","Mujeres","31 - 40","Licenciatura trunca","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",40
"198",198,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",27
"199",199,"Baja California","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",22
"200",200,"CDMX","Hombres","61 - 70","Posgrado","Auto empleo","Soltera(o)","En aislamiento",NA,"No",22
"201",201,"Veracruz","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",27
"202",202,"Colima","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",18
